Afghanistan,93,0
Albania,355,0
Algeria,213,0
American Samoa,1,1
Andorra,376,
Angola,244,
Anguilla,1,1
Antigua and Barbuda,1,1
Argentina,54,0
Armenia,374,0
Aruba,297,
Ascension,247,
Australia,61,0
Austria,43,0
Azerbaijan,994,0
Bahamas,1,1
Bahrain,973,
Bangladesh,880,0
Barbados,1,1
Belarus,375,80
Belgium,32,0
Belize,501,
Benin,229,
Bermuda,1,1
Bhutan,975,
Bolivia,591,0
Bosnia and Herzegovina,387,0
Botswana,267,
Brazil,55,0
British Virgin Islands,1,1
Brunei,673,
Bulgaria,359,0
Burkina Faso,226,
Burundi,257,
Cambodia,855,0
Cameroon,237,
Canada,1,1
Cape Verde,238,
Cayman Islands,1,1
Central African Rep.,236,
Chad,235,
Chile,56,
China,86,0
Colombia,57,0
Comoros,269,
Congo,242,
Congo (Kinshasa),243,0
Cook Islands,682,
Costa Rica,506,
Croatia,385,0
Cuba,53,0
Curacao,599,0
Cyprus,357,
Czech Republic,420,
Denmark,45,
Diego Garcia,246,
Djibouti,253,
Dominica,1,1
Dominican Republic,1,1
East Timor,670,
Ecuador,593,0
Egypt,20,0
El Salvador,503,
Equatorial Guinea,240,
Eritrea,291,0
Estonia,372,
Ethiopia,251,0
Falkland Islands,500,
Faroe Islands,298,
Fiji,679,
Finland,358,0
France,33,0
French Guiana,594,0
French Polynesia,689,
Gabon,241,0
Gambia,220,
Georgia,995,0
Germany,49,0
Ghana,233,0
Gibraltar,350,
Greece,30,
Greenland,299,
Grenada,1,1
Guadeloupe,590,0
Guam,1,1
Guatemala,502,
Guinea,224,
Guinea-Bissau,245,
Guyana,592,
Haiti,509,
Honduras,504,
Hong Kong,852,
Hungary,36,6
Iceland,354,
India,91,0
Indonesia,62,0
Inmarsat Satellite,870,
International-networks,882,
Iran,98,0
Iraq,964,
Ireland,353,0
Iridium Satellite,881,
Israel,972,0
Italy,39,
Ivory Coast,225,
Jamaica,1,1
Japan,81,0
Jordan,962,0
Kazakhstan,7,8
Kenya,254,0
Kiribati,686,
Kosovo,383,0
Kuwait,965,
Kyrgyzstan,996,0
Laos,856,0
Latvia,371,
Lebanon,961,0
Lesotho,266,
Liberia,231,
Libya,218,0
Liechtenstein,423,
Lithuania,370,8
Luxembourg,352,
Macau,853,
Madagascar,261,0
Malawi,265,
Malaysia,60,0
Maldives,960,
Mali,223,
Malta,356,
Marshall Islands,692,1
Martinique,596,0
Mauritania,222,
Mauritius,230,
Mayotte,262,0
Mexico,52,
Micronesia,691,1
Moldova,373,0
Monaco,377,
Mongolia,976,0
Montenegro,382,0
Montserrat,1,1
Morocco,212,0
Mozambique,258,
Myanmar,95,0
Namibia,264,0
Nauru,674,
Nepal,977,0
Netherlands,31,0
Netherlands Antilles,599,
New Caledonia,687,
New Zealand,64,0
Nicaragua,505,
Niger,227,
Nigeria,234,0
Niue,683,
Norfolk Island,672,
North Korea,850,
North Macedonia,389,0
Northern Mariana,1,1
Norway,47,
Oman,968,
Pakistan,92,0
Palau,680,
Palestine,970,0
Panama,507,
Papua New Guinea,675,
Paraguay,595,0
Peru,51,0
Philippines,63,0
Poland,48,
Portugal,351,
Puerto Rico,1,1
Qatar,974,
Reunion,262,0
Romania,40,0
Russian Federation,7,8
Rwanda,250,
Saint Helena,290,
Saint Kitts and Nevis,1,1
Saint Lucia,1,1
Saint Barthelemy,590,0
Saint Martin,590,0
Saint Pierre and Miquelon,508,
Saint Vincent,1,1
Samoa,685,
San Marino,378,
Sao Tome and Principe,239,
Saudi Arabia,966,0
Senegal,221,
Serbia,381,0
Seychelles,248,
Sierra Leone,232,0
Singapore,65,
Sint Maarten,1,1
Slovakia,421,0
Slovenia,386,0
Solomon Islands,677,
Somalia,252,
South Africa,27,0
South Korea,82,0
South Sudan,211,
Spain,34,
Sri Lanka,94,0
Sudan,249,0
Suriname,597,0
Swaziland,268,
Sweden,46,0
Switzerland,41,0
Syria,963,0
Taiwan,886,0
Tajikistan,992,8
Tanzania,255,0
Thailand,66,0
Thuraya Satellite,882,
Togo,228,
Tokelau,690,
Tonga,676,
Trinidad and Tobago,1,1
Tunisia,216,
Turkey,90,0
Turkmenistan,993,8
Turks and Caicos,1,1
Tuvalu,688,
Uganda,256,0
Ukraine,380,0
United Arab Emirates,971,0
United Kingdom,44,0
United States,1,1
US Virgin Islands,1,1
Uruguay,598,0
Uzbekistan,998,0
Vanuatu,678,
Vatican City,379,
Venezuela,58,0
Vietnam,84,0
Wallis and Futuna,681,
Yemen,967,0
Zambia,260,0
Zimbabwe,263,0
